category;question;correct_answer;invalid_answer1;invalid_answer2;invalid_answer3
;Кофейное дерево — вечнозеленое растение семейства ...;Мареновые;Яблоневые;Коммелиновые;Кутровые 
Цифры;Кофейное дерево начинает плодоносить спустя ... года после посадки;3;1;2;4
;Период цветения кофейного дерева;3 дня;День;Неделя;Месяц
Цифры;Продолжительность жизни кофейного дерева — ... лет;50;15;25;35
Цифры;Кофейное дерево даёт урожай ... лет;25;10;15;20
;Кофейное дерево опыляется;Самоопылением;Насекомыми;Ветром;Водой
Цифры;Кофейный пояс расположен в ...° от экватора в двух направлениях;25;10;15;20
;Кофейный пояс находится между тропиками;Рака и Козерога;Водолея и Стрельца;Рака и Водолея;Стрельца и Козерога
Диапазон цифр;Средняя температура произрастания кофе +...°-...°;15-30;10-25;10-30;15-25
Диапазон цифр;Диапазон высоты произрастания кофейного дерева;0-2300;0-800;800-1600;800-2300
Виды кофе;Коммерческую ценность представляют;Арабика и робуста;Арабика и эксельса;Эужениоидис и робуста;Либерийка и экцельса
Диапазон цифр;Дерево арабики вырастает в высоту ... м;5-10;3-10;0,5-15;5-15
Диапазон цифр;Дерево арабики даёт урожай ... раза/год;1-2;2-4;1-3;3-4
Виды кофе;Арабика появилась в результате естественного скрещивания ... и ...;Робуста и эужениодис;Робуста и либерика;Эксцельса и либерика;Робуста и эксцельса
Цифры;Всего видов Coffea;120;67;100;134
Страна;Родина арабики;Эфиопия;Индия;Кения;Вьетнам 
Разновидность;Первая естественная мутация арабики типики;Бурбон;Гейша;Иргалем;Сеосиес 
Разновидность;Самая известная разновидность арабики;Гейша;Бурбон;Иргалем;Сеосиес 
Доля;Всего арабика составляет ... мирового производства;2/3;1/3;1/2;1/4
Диапазон цифр;...% кофеина в арабике;0,8-1,5;0,5-1;0,8-1;1-1,5
;Слово 'робуста' переводится как ...;Сильный;Горький;Плохой;Быстрый
Диапазон цифр;Робуста произрастает на высоте ... м;0-800;800-2300;800-1000;0-1000
Диапазон цифр;Арабика произрастает на высоте ...м;8-2300;0-800;0-1000;800-1000
Цифры;Дерево робусты вырастает в высоту ... м;15;5;10;20
Цифры;Робуста была признана видом кофе в ... веке;19;9;16;13
Цифры;Количество хромосом арабики;44;12;22;48
Цифры;Количество хромосом робусты;22;6;12;44
Цифры;Для продолжения рода робусты нужно ... дерева за счёт перекрестного опыления;2;1;3;4
Цифры;Производительность конических жерновов ... кг/ч;12;11;13;9
Диапазон цифр;В робусте содержится ...% кофеина;1,6-3,5;0,8-1,5;0-0,8;1,9-2,3
Диапазон цифр;Период созревания ягоды арабики составляет ... месяцев;6-9;9-12;6-12;3-6
Диапазон цифр;Период созревания ягоды робусты составляет ... месяцев;9-12;3-6;6-12;3-9
Диапазон цифр;Производительность плоских жерновов ... кг/ч;7-9;6-12;1-3;3-7
Обозначения;Очень твёрдое зерно (>1500);SHB;GBN;HB;MHB
Обозначения;Хорошее твёрдое зерно (1200-1500м);GHB;HB;MNB;PB
Обозначения;Твёрдое зерно (900-1200м);HB;MNB;PB;SHB
Обозначения;Зерно средней твёрдости (700-900м);MHB;PB;SHB;HB
Обозначения;Плотное зерно (0-700м);PB;SHB;HB;MHB
Диапазон цифр;Ферментация кофейной ягоды в мытом обработке длится ... ч;12-72;6-12;8-10;80-100
Цифры;Сушка кофейной ягоды происходит до ...% влажности;11;9;20;42
Этапы обжарки;Чем больше идёт эта стадия, тем однородней структура кофе;Гомогенизация;Высушивание;Карамелизация;Развитие
Этапы обжарки;Первый этап обжарки кофе;Гомогенизация;Высушивание;Реакция Майяра;Первый крек 
Этапы обжарки;На этой стадии обжарки выделяется запах травянистого оттенка;Высушивание;Гомогенизация;Реакция Майяра;Второй крек
Этапы обжарки;Второй этап обжарки;Высушивание;Первый крек;Второй крек;Карамелизация
Этапы обжарки;Температура 150° характерна для этапа обжарки;Реакция Майяра;Первый крек;Высушивание;Второй крек
;Реакция Майяра происходит между;Сахарами и кислотами;Сахарами;Кислотами;Ни одно из перечисленных
Этапы обжарки;Температура 160-180° характерна для этого этапа обжарки;Карамелизация;Гомогенизация;Развитие;Реакция Майяра
Этапы обжарки;Данная реакция придаёт кофе коричневый цвет;Карамелизация;Второй крек;Высушивание;Первый крек 
Этапы обжарки;Третий этап обжарки;Реакция Майяра;Гомогенизация;Высушивание;Карамелизация 
Этапы обжарки;Четвёртый этаж обжарки;Карамелизация;Второй крек;Развитие;Первый крек
Этапы обжарки;Температура 180-200° характерна для этого этапа обжарки;Первый крек;Развитие;Второй крек;Карамелизация 
Этапы обжарки;Пятый этап обжарки;Первый крек;Развитие;Второй крек;Карамелизация 
Этапы обжарки;Чем дольше длится данная стадия, тем меньше кислотности и больше горечи будет во вкусе;Развитие;Карамелизация;Реакция Майяра;Первый крек 
Этапы обжарки;Приводит к появлению масел на поверхности зерна, кислотность отсутствует, много горечи.;Второй крек;Первый крек;Развитие;Высушивание
Этапы обжарки;Шестой этап обжарки;Развитие;Второй крек;Первый крек;Карамелизация
Этапы обжарки;Седьмой этап обжарки;Второй крек;Развитие;Первый крек;Реакция Майяра 
Кофемолка для эспрессо;#1 Что из перечисленного является кофемолкой для эспрессо;Бункерная;Лабораторная;Производственная;Ножевая
Кофемолка для эспрессо;#2 Что из перечисленного является кофемолкой для эспрессо;Кофемолка с контролем времени;Ручная;Ножевая;Производственная
Кофемолка для эспрессо;#3 Что из перечисленного является кофемолкой для эспрессо;Ни одно из перечисленного;Лабораторная;Ручная;Производственная
Кофемолка для эспрессо;#4 Что из перечисленного является кофемолкой для эспрессо;Кофемолка с контролем времени;Ножевая;Лабораторная;Ручная
Кофемолка для эспрессо;#5 Что из перечисленного является кофемолкой для эспрессо;Все перечисленные;Кофемолка с контролем времени;Кофемолка с ручным дозатором;Кофемолка с контролем веса
Кофемолка для альтернативы;#1 Что из перечисленного является кофемолкой для альтернативы;Ножевая;Кофемолка с контролем времени;Кофемолка с ручным дозатором;Кофемолка с контролем веса
Кофемолка для альтернативы;#2 Что из перечисленного является кофемолкой для альтернативы;Ручная;Кофемолка с контролем времени;Кофемолка с ручным дозатором;Кофемолка с контролем веса
Кофемолка для альтернативы;#3 Что из перечисленного является кофемолкой для альтернативы;Производственная;Кофемолка с контролем времени;Кофемолка с ручным дозатором;Кофемолка с контролем веса
